vgs ,M0.m1:vds (V),M0.m1:gm (s),M0.m1:gds (s),M0.m1:cgg (F),M0.m1:cgs (F),M0.m1:vth (V),M0.m1:id (A)
1.000E-3,400.0E-3,2.241E-12,4.185E-15,17.11E-15,-2.127E-15,743.7E-3,88.41E-15
2.000E-3,400.0E-3,2.300E-12,4.295E-15,17.10E-15,-2.127E-15,743.7E-3,90.68E-15
3.000E-3,400.0E-3,2.361E-12,4.409E-15,17.10E-15,-2.127E-15,743.7E-3,93.01E-15
4.000E-3,400.0E-3,2.423E-12,4.525E-15,17.09E-15,-2.127E-15,743.7E-3,95.40E-15
5.000E-3,400.0E-3,2.487E-12,4.644E-15,17.09E-15,-2.128E-15,743.7E-3,97.86E-15
6.000E-3,400.0E-3,2.552E-12,4.767E-15,17.08E-15,-2.128E-15,743.7E-3,100.4E-15
7.000E-3,400.0E-3,2.620E-12,4.893E-15,17.08E-15,-2.128E-15,743.7E-3,103.0E-15
8.000E-3,400.0E-3,2.689E-12,5.022E-15,17.07E-15,-2.129E-15,743.7E-3,105.6E-15
9.000E-3,400.0E-3,2.760E-12,5.155E-15,17.07E-15,-2.129E-15,743.7E-3,108.3E-15
10.00E-3,400.0E-3,2.833E-12,5.291E-15,17.06E-15,-2.129E-15,743.7E-3,111.1E-15
11.00E-3,400.0E-3,2.907E-12,5.431E-15,17.06E-15,-2.130E-15,743.7E-3,114.0E-15
12.00E-3,400.0E-3,2.984E-12,5.574E-15,17.05E-15,-2.130E-15,743.7E-3,117.0E-15
13.00E-3,400.0E-3,3.063E-12,5.721E-15,17.04E-15,-2.130E-15,743.7E-3,120.0E-15
14.00E-3,400.0E-3,3.143E-12,5.872E-15,17.04E-15,-2.131E-15,743.7E-3,123.1E-15
15.00E-3,400.0E-3,3.226E-12,6.027E-15,17.03E-15,-2.131E-15,743.7E-3,126.3E-15
16.00E-3,400.0E-3,3.311E-12,6.186E-15,17.03E-15,-2.131E-15,743.7E-3,129.5E-15
17.00E-3,400.0E-3,3.399E-12,6.350E-15,17.02E-15,-2.131E-15,743.7E-3,132.9E-15
18.00E-3,400.0E-3,3.488E-12,6.517E-15,17.02E-15,-2.132E-15,743.7E-3,136.3E-15
19.00E-3,400.0E-3,3.580E-12,6.689E-15,17.01E-15,-2.132E-15,743.7E-3,139.9E-15
20.00E-3,400.0E-3,3.675E-12,6.866E-15,17.01E-15,-2.132E-15,743.7E-3,143.5E-15
21.00E-3,400.0E-3,3.772E-12,7.047E-15,17.00E-15,-2.133E-15,743.7E-3,147.2E-15
22.00E-3,400.0E-3,3.871E-12,7.233E-15,17.00E-15,-2.133E-15,743.7E-3,151.0E-15
23.00E-3,400.0E-3,3.973E-12,7.424E-15,16.99E-15,-2.133E-15,743.7E-3,155.0E-15
24.00E-3,400.0E-3,4.078E-12,7.620E-15,16.99E-15,-2.133E-15,743.7E-3,159.0E-15
25.00E-3,400.0E-3,4.185E-12,7.821E-15,16.98E-15,-2.134E-15,743.7E-3,163.1E-15
26.00E-3,400.0E-3,4.296E-12,8.028E-15,16.98E-15,-2.134E-15,743.7E-3,167.4E-15
27.00E-3,400.0E-3,4.409E-12,8.240E-15,16.97E-15,-2.134E-15,743.7E-3,171.7E-15
28.00E-3,400.0E-3,4.525E-12,8.457E-15,16.97E-15,-2.135E-15,743.7E-3,176.2E-15
29.00E-3,400.0E-3,4.644E-12,8.680E-15,16.96E-15,-2.135E-15,743.7E-3,180.8E-15
30.00E-3,400.0E-3,4.767E-12,8.909E-15,16.96E-15,-2.135E-15,743.7E-3,185.5E-15
31.00E-3,400.0E-3,4.892E-12,9.144E-15,16.95E-15,-2.135E-15,743.7E-3,190.3E-15
32.00E-3,400.0E-3,5.021E-12,9.386E-15,16.95E-15,-2.136E-15,743.7E-3,195.2E-15
33.00E-3,400.0E-3,5.154E-12,9.633E-15,16.94E-15,-2.136E-15,743.7E-3,200.3E-15
34.00E-3,400.0E-3,5.289E-12,9.887E-15,16.93E-15,-2.136E-15,743.7E-3,205.6E-15
35.00E-3,400.0E-3,5.429E-12,10.15E-15,16.93E-15,-2.136E-15,743.7E-3,210.9E-15
36.00E-3,400.0E-3,5.572E-12,10.42E-15,16.92E-15,-2.137E-15,743.7E-3,216.4E-15
37.00E-3,400.0E-3,5.719E-12,10.69E-15,16.92E-15,-2.137E-15,743.7E-3,222.1E-15
38.00E-3,400.0E-3,5.869E-12,10.97E-15,16.91E-15,-2.137E-15,743.7E-3,227.9E-15
39.00E-3,400.0E-3,6.024E-12,11.26E-15,16.91E-15,-2.137E-15,743.7E-3,233.8E-15
40.00E-3,400.0E-3,6.183E-12,11.56E-15,16.90E-15,-2.138E-15,743.7E-3,239.9E-15
41.00E-3,400.0E-3,6.346E-12,11.86E-15,16.90E-15,-2.138E-15,743.7E-3,246.2E-15
42.00E-3,400.0E-3,6.513E-12,12.18E-15,16.89E-15,-2.138E-15,743.7E-3,252.6E-15
43.00E-3,400.0E-3,6.684E-12,12.50E-15,16.89E-15,-2.138E-15,743.7E-3,259.2E-15
44.00E-3,400.0E-3,6.861E-12,12.83E-15,16.88E-15,-2.139E-15,743.7E-3,266.0E-15
45.00E-3,400.0E-3,7.041E-12,13.17E-15,16.88E-15,-2.139E-15,743.7E-3,272.9E-15
46.00E-3,400.0E-3,7.227E-12,13.51E-15,16.87E-15,-2.139E-15,743.7E-3,280.0E-15
47.00E-3,400.0E-3,7.417E-12,13.87E-15,16.87E-15,-2.139E-15,743.7E-3,287.4E-15
48.00E-3,400.0E-3,7.612E-12,14.24E-15,16.86E-15,-2.140E-15,743.7E-3,294.9E-15
49.00E-3,400.0E-3,7.813E-12,14.61E-15,16.86E-15,-2.140E-15,743.7E-3,302.6E-15
50.00E-3,400.0E-3,8.019E-12,15.00E-15,16.85E-15,-2.140E-15,743.7E-3,310.5E-15
51.00E-3,400.0E-3,8.230E-12,15.39E-15,16.85E-15,-2.140E-15,743.7E-3,318.6E-15
52.00E-3,400.0E-3,8.447E-12,15.80E-15,16.84E-15,-2.140E-15,743.7E-3,327.0E-15
53.00E-3,400.0E-3,8.669E-12,16.21E-15,16.84E-15,-2.141E-15,743.7E-3,335.5E-15
54.00E-3,400.0E-3,8.898E-12,16.64E-15,16.83E-15,-2.141E-15,743.7E-3,344.3E-15
55.00E-3,400.0E-3,9.132E-12,17.08E-15,16.83E-15,-2.141E-15,743.7E-3,353.3E-15
56.00E-3,400.0E-3,9.372E-12,17.53E-15,16.82E-15,-2.141E-15,743.7E-3,362.6E-15
57.00E-3,400.0E-3,9.619E-12,17.99E-15,16.82E-15,-2.141E-15,743.7E-3,372.1E-15
58.00E-3,400.0E-3,9.872E-12,18.47E-15,16.81E-15,-2.142E-15,743.7E-3,381.8E-15
59.00E-3,400.0E-3,10.13E-12,18.96E-15,16.81E-15,-2.142E-15,743.7E-3,391.8E-15
60.00E-3,400.0E-3,10.40E-12,19.45E-15,16.80E-15,-2.142E-15,743.7E-3,402.1E-15
61.00E-3,400.0E-3,10.67E-12,19.97E-15,16.80E-15,-2.142E-15,743.7E-3,412.6E-15
62.00E-3,400.0E-3,10.95E-12,20.49E-15,16.79E-15,-2.142E-15,743.7E-3,423.4E-15
63.00E-3,400.0E-3,11.24E-12,21.03E-15,16.79E-15,-2.143E-15,743.7E-3,434.5E-15
64.00E-3,400.0E-3,11.54E-12,21.59E-15,16.78E-15,-2.143E-15,743.7E-3,445.9E-15
65.00E-3,400.0E-3,11.84E-12,22.16E-15,16.78E-15,-2.143E-15,743.7E-3,457.6E-15
66.00E-3,400.0E-3,12.15E-12,22.74E-15,16.77E-15,-2.143E-15,743.7E-3,469.6E-15
